"ID","Album","Release Date","Track Number","Track Name","Duration (ms)","Spotify URL"
"MCZ00359","「ニュームーンに恋して」/「永遠だけが二人を架ける」","2016-06-22","1","ニュームーンに恋して","265347","https://open.spotify.com/track/5FjGE3mBCVFtZdlmTkrjkE"
"MCZ00360","「ニュームーンに恋して」/「永遠だけが二人を架ける」","2016-06-22","2","永遠だけが二人を架ける","265708","https://open.spotify.com/track/7zddELs9pbu6RVmZA3KSbf"
"MCZ00361","「ニュームーンに恋して」/「永遠だけが二人を架ける」","2016-06-22","3","ニュームーンに恋して(off vocal ver.)","265347","https://open.spotify.com/track/2sCyGSvr9Trtr3cYV1Frex"
"MCZ00362","「ニュームーンに恋して」/「永遠だけが二人を架ける」","2016-06-22","4","永遠だけが二人を架ける(off vocal ver.)","265732","https://open.spotify.com/track/2mhxyzjE4NAYjBxf0ErcEx"
"MCZ00371","『Z』の誓い【『F』盤】","2015-04-29","1","『Z』の誓い","290280","https://open.spotify.com/track/5ToTyYpJzN1bh3DA6SOx6x"
"MCZ00372","『Z』の誓い【『F』盤】","2015-04-29","2","ロマンティックこんがらがってる","245720","https://open.spotify.com/track/45YBk9ZUaLsBFpHYUByo3Q"
"MCZ00373","『Z』の誓い【『F』盤】","2015-04-29","3","『Z』の誓い (off vocal ver.)","289626","https://open.spotify.com/track/1laEsYl9gWa7UT7wQu2wUv"
"MCZ00374","『Z』の誓い【『F』盤】","2015-04-29","4","ロマンティックこんがらがってる (off vocal ver.)","244546","https://open.spotify.com/track/1sj7zXid5k6e7mEuaRbEl7"
"MCZ00365","『Z』の誓い【『Z』盤】","2015-04-29","1","『Z』の誓い","290280","https://open.spotify.com/track/0PEo8PVfGSY3QFJXg4bLxs"
"MCZ00366","『Z』の誓い【『Z』盤】","2015-04-29","2","ロマンティックこんがらがってる","245213","https://open.spotify.com/track/62VR3MqMpLQRTbogQAT2eG"
"MCZ00367","『Z』の誓い【『Z』盤】","2015-04-29","3","CHA-LA HEAD-CHA-LA","197786","https://open.spotify.com/track/27voeec7TmV46NK6c39Pxv"
"MCZ00368","『Z』の誓い【『Z』盤】","2015-04-29","4","『Z』の誓い(off vocal ver.)","289626","https://open.spotify.com/track/3HJeEIhFvTBmMGZbPFUsgz"
"MCZ00369","『Z』の誓い【『Z』盤】","2015-04-29","5","ロマンティックこんがらがってる(off vocal ver.)","245226","https://open.spotify.com/track/7DcswKshOuUAYr3fACL7nf"
"MCZ00370","『Z』の誓い【『Z』盤】","2015-04-29","6","CHA-LA HEAD-CHA-LA(off vocal ver.)","196106","https://open.spotify.com/track/0EBSHhcTnzwTFPc2ppu0xI"
"MCZ00266","5TH DIMENSION","2013-04-10","1","Neo STARGATE","498600","https://open.spotify.com/track/6345iHcbfH9Ysy4gjwwt3S"
"MCZ00267","5TH DIMENSION","2013-04-10","2","仮想ディストピア","249493","https://open.spotify.com/track/7gBx1nIPpw92xqSlZwbrcR"
"MCZ00268","5TH DIMENSION","2013-04-10","3","猛烈宇宙交響曲・第七楽章「無限の愛」","311533","https://open.spotify.com/track/2FJ0xupN6exwhS44c6Og2i"
"MCZ00269","5TH DIMENSION","2013-04-10","4","5 The POWER","258066","https://open.spotify.com/track/1LPDa2THEduvVIGaFQ4LpO"
"MCZ00270","5TH DIMENSION","2013-04-10","5","労働讃歌","277533","https://open.spotify.com/track/55ccSNAH4upuf2mBQ1fkFk"
"MCZ00271","5TH DIMENSION","2013-04-10","6","ゲッダーン!","213293","https://open.spotify.com/track/71bvXa5ZWPM2aOT7oZwLAF"
"MCZ00272","5TH DIMENSION","2013-04-10","7","Z女戦争","415040","https://open.spotify.com/track/2Br4ZxyxwcuAdMs83udfA4"
"MCZ00273","5TH DIMENSION","2013-04-10","8","月と銀紙飛行船","312773","https://open.spotify.com/track/6Bs1UuvdK64hHoDtFeNNBQ"
"MCZ00274","5TH DIMENSION","2013-04-10","9","BIRTH O BIRTH","300466","https://open.spotify.com/track/18jtcOnpa2al9FKvpTpLKS"
"MCZ00275","5TH DIMENSION","2013-04-10","10","上球物語 -Carpe diem-","241666","https://open.spotify.com/track/6szDzSzCpCodjJ55rpnQWg"
"MCZ00276","5TH DIMENSION","2013-04-10","11","宙飛ぶ!お座敷列車","265813","https://open.spotify.com/track/1YrTWmyz95YSb6zDfmU27L"
